"","Date","Run","Temp.C"
"24","20221024","Run03",28.8857575757576
"241","20221024","Run02",32.222754491018
"242","20221024","Run04",31.5822424242424
"243","20221026","Run05",29.2981818181818
"244","20221026","Run07",28.2940145985401
"245","20221026","Run09",27.8553153153153
"246","20221026","Run11",27.810985915493
"247","20221026","Run06",31.7774324324324
"248","20221026","Run08",30.4021897810219
"249","20221026","Run10",30.1172072072072
"2410","20221026","Run12",29.965985915493
"2411","20221028","Run13",28.7674149659864
"2412","20221028","Run15",28.2696350364964
"2413","20221028","Run14",30.9152380952381
"2414","20221028","Run16",31.2529197080292
